날짜,종가,전일비,시가,고가,저가,거래량
2020.08.07,353000.0,11000.0,368000.0,370000.0,350500.0,1888482.0
2020.08.06,364000.0,6500.0,358500.0,372500.0,357500.0,1848898.0
2020.08.05,370500.0,500.0,366000.0,371000.0,362500.0,1075879.0
2020.08.04,370000.0,4000.0,378500.0,384000.0,361000.0,1714642.0
2020.08.03,366000.0,22500.0,347500.0,366000.0,347000.0,1636803.0
2020.07.31,343500.0,11500.0,336000.0,344000.0,335500.0,1078837.0
2020.07.30,332000.0,500.0,336000.0,337000.0,331500.0,615872.0
2020.07.29,331500.0,2000.0,329000.0,333000.0,325000.0,618435.0
2020.07.28,329500.0,3000.0,332000.0,336000.0,328500.0,873063.0
2020.07.27,326500.0,2000.0,321000.0,329500.0,320500.0,603322.0
2020.07.24,324500.0,5000.0,325000.0,333000.0,322000.0,907643.0
2020.07.23,329500.0,11500.0,316500.0,329500.0,315000.0,1260435.0
2020.07.22,318000.0,2000.0,310500.0,321500.0,306000.0,1159298.0
2020.07.21,316000.0,6000.0,323500.0,326000.0,311500.0,1676630.0
2020.07.20,310000.0,15000.0,325000.0,325000.0,310000.0,1534422.0
2020.07.17,325000.0,3000.0,319000.0,327000.0,314000.0,1268587.0
2020.07.16,322000.0,15500.0,332000.0,335500.0,319000.0,1941508.0
2020.07.15,337500.0,5500.0,344000.0,349500.0,332000.0,1487417.0
2020.07.14,343000.0,9000.0,340500.0,346500.0,340000.0,1212519.0
2020.07.13,352000.0,3500.0,359000.0,361000.0,345000.0,1391744.0
2020.07.10,355500.0,0.0,351000.0,368000.0,345500.0,2566935.0
2020.07.09,355500.0,27500.0,335000.0,355500.0,332000.0,2463503.0
2020.07.08,328000.0,17500.0,312000.0,328000.0,305000.0,1869663.0
2020.07.07,310500.0,10000.0,306500.0,318000.0,304000.0,1552820.0
2020.07.06,300500.0,6500.0,298000.0,307500.0,297000.0,1344851.0
2020.07.03,294000.0,8500.0,289500.0,297000.0,284000.0,1604493.0
2020.07.02,285500.0,16000.0,273500.0,285500.0,273000.0,1378545.0
2020.07.01,269500.0,2000.0,271500.0,275000.0,267500.0,578023.0
2020.06.30,267500.0,0.0,272000.0,273000.0,267500.0,624089.0
2020.06.29,267500.0,7000.0,269000.0,273500.0,266000.0,778818.0
2020.06.26,274500.0,0.0,279500.0,280000.0,268000.0,812726.0
2020.06.25,274500.0,8000.0,278500.0,282000.0,273500.0,900258.0
2020.06.24,282500.0,1000.0,281500.0,284000.0,275000.0,1081233.0
2020.06.23,281500.0,7500.0,279000.0,289000.0,277000.0,2166267.0
2020.06.22,274000.0,10500.0,263500.0,276000.0,260500.0,2008656.0
